epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6169,1.80902,2.30874,1.33272,0.27251,0.98919,0.61288,0.26298,0.90942,2.60975,0.97402,0.00044,0.00044,0.00044
2,96.9531,0.97153,1.44322,0.98424,0.83142,0.89459,0.8836,0.57818,1.15307,1.26244,0.84025,0.00089109,0.00089109,0.00089109
3,141.852,0.83965,1.16695,0.93657,0.89225,0.97838,0.95198,0.62776,0.98399,0.93169,0.86577,0.00133307,0.00133307,0.00133307
4,186.397,0.77847,1.01755,0.89083,0.83346,0.93784,0.94129,0.61807,1.00937,0.90317,0.91209,0.00176595,0.00176595,0.00176595
5,231.55,0.8318,1.12612,0.91464,0.93769,0.93243,0.95926,0.72609,0.86644,0.75001,0.9075,0.0019208,0.0019208,0.0019208
6,276.922,0.83204,0.9493,0.914,0.95073,0.98108,0.96091,0.76956,0.92759,0.74209,0.93765,0.001901,0.001901,0.001901
7,323.08,0.78865,0.98566,0.90767,0.94404,0.98108,0.96734,0.77256,0.90154,0.72776,0.93104,0.0018812,0.0018812,0.0018812
8,369.227,0.72876,0.93526,0.89706,0.89294,0.9973,0.96073,0.85554,0.59452,0.68447,0.87254,0.0018614,0.0018614,0.0018614
9,415.172,0.71657,0.85397,0.89764,0.89304,0.9973,0.95887,0.83091,0.76004,0.67321,0.88135,0.0018416,0.0018416,0.0018416
10,460.566,0.68414,0.86246,0.87484,0.90569,0.99189,0.96553,0.76437,0.95475,0.70784,0.91671,0.0018218,0.0018218,0.0018218
11,506.342,0.62984,0.80354,0.8543,0.8963,0.99189,0.95981,0.8525,0.603,0.62906,0.86984,0.001802,0.001802,0.001802
12,552.019,0.63787,0.76485,0.85482,0.92854,0.98335,0.96555,0.81519,0.67952,0.69118,0.86852,0.0017822,0.0017822,0.0017822
13,598.355,0.57548,0.73521,0.83557,0.95817,0.98378,0.96552,0.80604,0.85226,0.65734,0.88197,0.0017624,0.0017624,0.0017624
14,643.967,0.59115,0.76505,0.84697,0.95904,0.98649,0.96675,0.76915,0.93073,0.62742,0.90204,0.0017426,0.0017426,0.0017426
15,690.614,0.59433,0.74703,0.85611,0.95469,0.98649,0.96927,0.8605,0.57298,0.5228,0.85277,0.0017228,0.0017228,0.0017228
16,736.141,0.51346,0.67817,0.8209,0.95808,0.98919,0.96742,0.81239,0.66603,0.56504,0.86276,0.001703,0.001703,0.001703
17,781.717,0.54372,0.7195,0.84167,0.96001,0.99189,0.96651,0.84689,0.57062,0.53861,0.85763,0.0016832,0.0016832,0.0016832
18,827.594,0.55781,0.70559,0.8368,0.9601,0.99189,0.96848,0.86142,0.5771,0.54632,0.86435,0.0016634,0.0016634,0.0016634
19,873.987,0.58536,0.73861,0.86425,0.9603,0.99189,0.97182,0.81332,0.78954,0.62497,0.88984,0.0016436,0.0016436,0.0016436
20,941.903,0.49633,0.63362,0.82738,0.9607,0.99113,0.97179,0.86378,0.6022,0.49836,0.87276,0.0016238,0.0016238,0.0016238
21,1011.98,0.50813,0.64459,0.82904,0.95426,0.99189,0.96887,0.86145,0.50069,0.51294,0.84945,0.001604,0.001604,0.001604
22,1081.21,0.47975,0.57483,0.81202,0.96072,0.99159,0.97053,0.86286,0.5864,0.47112,0.85669,0.0015842,0.0015842,0.0015842
23,1150.47,0.49042,0.59235,0.81686,0.96073,0.9918,0.9725,0.83466,0.66218,0.50388,0.86524,0.0015644,0.0015644,0.0015644
24,1219.98,0.48255,0.57809,0.80924,0.96012,0.99189,0.96841,0.87608,0.46711,0.48379,0.88192,0.0015446,0.0015446,0.0015446
25,1289.16,0.48507,0.5565,0.817,0.96025,0.99189,0.96825,0.88287,0.47721,0.48804,0.87567,0.0015248,0.0015248,0.0015248
26,1359.18,0.49002,0.54985,0.8113,0.9601,0.99189,0.96838,0.85258,0.63899,0.54067,0.89429,0.001505,0.001505,0.001505
27,1429.44,0.48053,0.57196,0.81901,0.9608,0.99356,0.96822,0.83632,0.66938,0.54153,0.91847,0.0014852,0.0014852,0.0014852
28,1497.98,0.45841,0.5885,0.81603,0.96063,0.99189,0.96808,0.82327,0.71879,0.49408,0.93619,0.0014654,0.0014654,0.0014654
29,1567.45,0.46282,0.52477,0.81467,0.9608,0.99361,0.97473,0.87877,0.50903,0.45057,0.92616,0.0014456,0.0014456,0.0014456
30,1637.09,0.44662,0.53139,0.81308,0.96073,0.99184,0.97406,0.87277,0.5514,0.44456,0.92143,0.0014258,0.0014258,0.0014258
31,1708.08,0.44466,0.50733,0.81202,0.96013,0.99189,0.9669,0.89646,0.42868,0.40564,0.90371,0.001406,0.001406,0.001406
32,1777.2,0.46223,0.50247,0.81461,0.96194,0.98649,0.96645,0.86236,0.56064,0.42396,0.91409,0.0013862,0.0013862,0.0013862
33,1848.77,0.48426,0.55183,0.83344,0.96269,0.98919,0.96326,0.86292,0.5522,0.50609,0.90368,0.0013664,0.0013664,0.0013664
34,1913.78,0.42982,0.49901,0.80778,0.96057,0.98755,0.96027,0.85885,0.54586,0.50532,0.91623,0.0013466,0.0013466,0.0013466
35,1958.1,0.43251,0.49857,0.80663,0.96069,0.99082,0.9622,0.86401,0.49586,0.47769,0.92056,0.0013268,0.0013268,0.0013268
36,2002.76,0.44214,0.49865,0.81488,0.96112,0.98919,0.96435,0.85629,0.56364,0.44246,0.91923,0.001307,0.001307,0.001307
37,2046.98,0.44448,0.48376,0.81833,0.96005,0.99189,0.96479,0.86095,0.55015,0.43286,0.91803,0.0012872,0.0012872,0.0012872
38,2092.55,0.40814,0.4603,0.80615,0.9595,0.98919,0.96926,0.87573,0.47405,0.41148,0.91363,0.0012674,0.0012674,0.0012674
39,2137.87,0.45423,0.50195,0.81862,0.95814,0.9899,0.96844,0.86688,0.51139,0.37795,0.91751,0.0012476,0.0012476,0.0012476
40,2183.72,0.4226,0.49252,0.80823,0.96018,0.98919,0.96189,0.86366,0.489,0.38942,0.92375,0.0012278,0.0012278,0.0012278
41,2228.57,0.41525,0.47285,0.8061,0.96056,0.98919,0.95901,0.85636,0.52271,0.41124,0.9218,0.001208,0.001208,0.001208
42,2273.93,0.42133,0.46861,0.81247,0.96024,0.99189,0.95991,0.86164,0.48732,0.37452,0.9193,0.0011882,0.0011882,0.0011882
43,2320.91,0.4293,0.46121,0.81421,0.96049,0.99189,0.95988,0.85905,0.51465,0.37023,0.9104,0.0011684,0.0011684,0.0011684
44,2366.8,0.42052,0.42394,0.80428,0.9603,0.99189,0.96169,0.8412,0.59403,0.40942,0.91054,0.0011486,0.0011486,0.0011486
45,2411.77,0.39283,0.43724,0.79163,0.96033,0.99189,0.96815,0.86196,0.54903,0.41382,0.90584,0.0011288,0.0011288,0.0011288
46,2456.76,0.41323,0.45864,0.80899,0.96027,0.99189,0.96608,0.85662,0.57521,0.41324,0.91535,0.001109,0.001109,0.001109
47,2501.67,0.40838,0.45996,0.79724,0.96313,0.98854,0.96028,0.86038,0.51624,0.38459,0.9146,0.0010892,0.0010892,0.0010892
48,2547.13,0.4069,0.44163,0.80724,0.96182,0.98919,0.96092,0.87201,0.45975,0.36741,0.91593,0.0010694,0.0010694,0.0010694
49,2591.85,0.38099,0.42979,0.8016,0.95973,0.99189,0.95781,0.8568,0.54159,0.37935,0.92644,0.0010496,0.0010496,0.0010496
50,2637.15,0.36391,0.42811,0.79227,0.95988,0.99189,0.95709,0.85778,0.54082,0.3848,0.92449,0.0010298,0.0010298,0.0010298
51,2682.11,0.38607,0.43443,0.79963,0.95991,0.99189,0.95785,0.89006,0.43448,0.36958,0.91994,0.00101,0.00101,0.00101
