epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6241,3.27885,4.81505,2.04604,0,0,0,0,2.59128,4.58561,1.35878,5.786e-05,5.786e-05,5.786e-05
2,35.2025,2.31829,4.52584,1.32651,0,0,0,0,1.85852,4.43884,1.11071,0.000119782,0.000119782,0.000119782
3,52.8303,1.76245,4.17188,1.08962,0.03658,0.11193,0.01417,0.00554,1.19411,4.26536,0.9626,0.000180455,0.000180455,0.000180455
4,70.82,1.54737,4.02267,1.03741,0.03609,0.46581,0.03627,0.01471,0.95306,4.08892,0.92175,0.000239878,0.000239878,0.000239878
5,88.49,1.45375,3.86925,1.00499,0.0368,0.49581,0.04391,0.02501,1.06509,3.64958,0.93637,0.000298051,0.000298051,0.000298051
6,106.089,1.35331,3.71733,0.99778,0.03496,0.48137,0.04723,0.02842,0.86549,3.38247,0.92171,0.000354974,0.000354974,0.000354974
7,123.58,1.13559,3.61255,0.94313,0.03876,0.46639,0.04242,0.02624,0.86839,3.20615,0.94102,0.000410647,0.000410647,0.000410647
8,141.246,1.15547,3.63271,0.94247,0.03675,0.46367,0.04769,0.03388,0.83461,3.16482,0.93498,0.000465071,0.000465071,0.000465071
9,158.709,1.16087,3.49028,0.92982,0.03992,0.4911,0.05398,0.03835,0.8014,3.15538,0.92964,0.000484341,0.000484341,0.000484341
10,175.918,1.02573,3.43408,0.90927,0.03558,0.44721,0.04968,0.03676,0.77704,3.19202,0.94076,0.000479133,0.000479133,0.000479133
11,193.277,0.95221,3.37513,0.91174,0.02993,0.41957,0.05148,0.04163,0.69707,3.21485,0.92581,0.000473926,0.000473926,0.000473926
12,210.663,0.95618,3.28017,0.90243,0.03158,0.42835,0.05002,0.04105,0.62352,3.19256,0.9138,0.000468719,0.000468719,0.000468719
13,228.068,0.93652,3.27751,0.89772,0.02974,0.43601,0.06204,0.04928,0.66838,3.09491,0.91843,0.000463511,0.000463511,0.000463511
14,245.268,0.94576,3.13215,0.87351,0.09496,0.43803,0.06843,0.05591,0.59029,3.05407,0.91172,0.000458304,0.000458304,0.000458304
15,262.682,0.83963,3.08959,0.86253,0.04156,0.51565,0.07521,0.06045,0.63922,3.02351,0.91628,0.000453096,0.000453096,0.000453096
16,279.825,0.83622,3.05654,0.85756,0.10769,0.51378,0.08118,0.06495,0.61859,3.01143,0.90845,0.000447889,0.000447889,0.000447889
17,297.143,0.77472,2.92979,0.85307,0.19876,0.21548,0.09505,0.07434,0.62302,2.93984,0.90029,0.000442682,0.000442682,0.000442682
18,314.555,0.72729,2.84429,0.86435,0.26842,0.21166,0.08751,0.07029,0.59874,2.96345,0.90027,0.000437474,0.000437474,0.000437474
19,331.996,0.7861,2.77816,0.85683,0.2597,0.19808,0.11653,0.08721,0.58169,3.00406,0.90286,0.000432267,0.000432267,0.000432267
20,349.132,0.71487,2.73896,0.8522,0.0461,0.63919,0.13219,0.09333,0.54006,3.01126,0.8996,0.000427059,0.000427059,0.000427059
21,366.453,0.7026,2.66134,0.85965,0.05154,0.72422,0.14038,0.09999,0.55726,2.85683,0.89729,0.000421852,0.000421852,0.000421852
22,383.608,0.67513,2.59112,0.84658,0.05545,0.76274,0.15704,0.11238,0.65084,2.75437,0.90102,0.000416645,0.000416645,0.000416645
23,400.782,0.6306,2.51496,0.83767,0.18306,0.50877,0.20272,0.15722,0.62266,2.50245,0.89697,0.000411437,0.000411437,0.000411437
24,418.219,0.63761,2.45863,0.84252,0.20326,0.4193,0.21485,0.18631,0.55401,2.3315,0.89226,0.00040623,0.00040623,0.00040623
25,435.596,0.65178,2.39918,0.83137,0.21439,0.42789,0.23212,0.20184,0.54339,2.21679,0.89543,0.000401022,0.000401022,0.000401022
26,449.48,0.64157,2.35437,0.82966,0.20309,0.3844,0.24037,0.21,0.52092,2.22184,0.89395,0.000395815,0.000395815,0.000395815
27,467.199,0.60204,2.35228,0.84506,0.21929,0.41072,0.27112,0.2374,0.49023,2.20931,0.88703,0.000390608,0.000390608,0.000390608
28,485.046,0.6499,2.26312,0.82069,0.23405,0.42909,0.29216,0.25464,0.49233,2.17588,0.88688,0.0003854,0.0003854,0.0003854
29,502.971,0.64226,2.18365,0.8354,0.21863,0.57452,0.37404,0.33173,0.48683,1.9595,0.88722,0.000380193,0.000380193,0.000380193
30,520.635,0.61632,2.2036,0.8264,0.28055,0.55101,0.38509,0.34642,0.48094,1.92815,0.88861,0.000374985,0.000374985,0.000374985
31,538.448,0.59142,2.12121,0.83179,0.26934,0.53333,0.41448,0.37822,0.43488,1.92703,0.88911,0.000369778,0.000369778,0.000369778
32,556.135,0.60037,2.09203,0.83444,0.26779,0.51881,0.44935,0.4056,0.46627,1.86686,0.8881,0.000364571,0.000364571,0.000364571
33,574.005,0.56355,2.09251,0.82148,0.28192,0.69685,0.49727,0.4656,0.40894,1.75019,0.8855,0.000359363,0.000359363,0.000359363
34,590.691,0.56872,1.99417,0.83442,0.37808,0.64964,0.50287,0.47559,0.37905,1.72945,0.88378,0.000354156,0.000354156,0.000354156
35,602.773,0.61914,2.01347,0.83638,0.3211,0.61895,0.51127,0.47163,0.39004,1.64507,0.88317,0.000348948,0.000348948,0.000348948
36,614.506,0.54057,1.90578,0.81902,0.42736,0.60358,0.52427,0.48466,0.38549,1.64393,0.88367,0.000343741,0.000343741,0.000343741
37,626.439,0.53179,1.8912,0.81871,0.39457,0.61698,0.57754,0.53705,0.39023,1.60458,0.88432,0.000338534,0.000338534,0.000338534
38,638.175,0.55211,1.82807,0.82047,0.44264,0.6486,0.57417,0.53523,0.3939,1.62167,0.88624,0.000333326,0.000333326,0.000333326
39,649.909,0.52175,1.80703,0.82919,0.44811,0.73192,0.59037,0.54942,0.40514,1.59979,0.88982,0.000328119,0.000328119,0.000328119
40,661.659,0.54249,1.75821,0.81863,0.45891,0.73095,0.62524,0.57804,0.39485,1.539,0.88756,0.000322911,0.000322911,0.000322911
41,673.352,0.52575,1.71816,0.82968,0.49575,0.65261,0.66015,0.61071,0.40648,1.46556,0.88875,0.000317704,0.000317704,0.000317704
42,684.997,0.51935,1.69719,0.81504,0.55344,0.68161,0.66061,0.60895,0.41974,1.46393,0.89066,0.000312497,0.000312497,0.000312497
43,696.816,0.49311,1.59524,0.81864,0.64495,0.62778,0.6798,0.63776,0.37035,1.41279,0.88871,0.000307289,0.000307289,0.000307289
44,708.441,0.49107,1.60655,0.83539,0.64676,0.64819,0.70102,0.65951,0.35263,1.3851,0.88855,0.000302082,0.000302082,0.000302082
45,720.209,0.51799,1.60022,0.82575,0.55662,0.73041,0.7165,0.66994,0.37306,1.31481,0.88924,0.000296874,0.000296874,0.000296874
46,731.891,0.49833,1.54249,0.82022,0.52293,0.7621,0.7177,0.66497,0.39091,1.27582,0.88989,0.000291667,0.000291667,0.000291667
47,743.607,0.46661,1.47592,0.81633,0.55563,0.75629,0.72736,0.68107,0.3783,1.23808,0.89033,0.00028646,0.00028646,0.00028646
48,755.397,0.45897,1.43462,0.82,0.58348,0.71154,0.73025,0.69004,0.35287,1.24496,0.8894,0.000281252,0.000281252,0.000281252
49,767.228,0.49189,1.43959,0.81542,0.70957,0.73214,0.76818,0.7164,0.3736,1.22893,0.89203,0.000276045,0.000276045,0.000276045
50,778.99,0.45288,1.41178,0.81842,0.78595,0.68528,0.78491,0.72543,0.40449,1.18067,0.89355,0.000270837,0.000270837,0.000270837
51,790.658,0.48563,1.4094,0.83096,0.77688,0.73796,0.815,0.76001,0.36977,1.10253,0.89203,0.00026563,0.00026563,0.00026563
52,802.281,0.46535,1.36004,0.8111,0.77748,0.74437,0.81433,0.76519,0.33836,1.08847,0.89087,0.000260423,0.000260423,0.000260423
53,813.826,0.43236,1.32505,0.83179,0.80168,0.76495,0.83213,0.78433,0.33238,1.04029,0.8905,0.000255215,0.000255215,0.000255215
54,825.516,0.47525,1.33119,0.83143,0.80583,0.76583,0.84203,0.78804,0.35873,1.03917,0.89202,0.000250008,0.000250008,0.000250008
55,837.262,0.466,1.33256,0.83091,0.7162,0.76492,0.82177,0.76816,0.33479,1.11054,0.89266,0.0002448,0.0002448,0.0002448
56,849.025,0.46669,1.25819,0.81874,0.71194,0.7726,0.82119,0.767,0.3314,1.13618,0.89362,0.000239593,0.000239593,0.000239593
57,860.682,0.45137,1.30631,0.81458,0.80085,0.75241,0.84476,0.78541,0.34261,1.0475,0.89611,0.000234386,0.000234386,0.000234386
58,872.499,0.45122,1.22008,0.8259,0.82469,0.75859,0.83603,0.78439,0.33553,1.01122,0.89665,0.000229178,0.000229178,0.000229178
59,884.272,0.44726,1.2099,0.8094,0.82858,0.77259,0.85045,0.79912,0.32425,0.93784,0.89601,0.000223971,0.000223971,0.000223971
60,896.036,0.44084,1.18793,0.81115,0.81432,0.79434,0.85386,0.80518,0.31503,0.89557,0.89478,0.000218763,0.000218763,0.000218763
61,907.761,0.47386,1.20458,0.82269,0.74823,0.80947,0.85807,0.81181,0.3002,0.88475,0.89219,0.000213556,0.000213556,0.000213556
62,919.575,0.46792,1.17389,0.84261,0.74995,0.78662,0.86164,0.80877,0.3024,0.89919,0.89218,0.000208349,0.000208349,0.000208349
63,931.648,0.44763,1.14776,0.82022,0.78213,0.78352,0.85793,0.80779,0.31383,0.88669,0.89379,0.000203141,0.000203141,0.000203141
64,943.508,0.45935,1.13186,0.82014,0.81325,0.7803,0.85256,0.80287,0.31463,0.89537,0.89428,0.000197934,0.000197934,0.000197934
65,955.454,0.44253,1.16147,0.81897,0.74215,0.87022,0.8655,0.81181,0.3,0.91783,0.89551,0.000192726,0.000192726,0.000192726
66,967.563,0.42216,1.10954,0.81338,0.73495,0.88353,0.87331,0.82003,0.30386,0.90136,0.89602,0.000187519,0.000187519,0.000187519
67,979.47,0.41733,1.06111,0.81081,0.74023,0.88577,0.88568,0.84125,0.30272,0.82246,0.89573,0.000182312,0.000182312,0.000182312
68,991.631,0.42353,1.08711,0.80538,0.74179,0.88442,0.88612,0.83967,0.30459,0.80669,0.89561,0.000177104,0.000177104,0.000177104
69,1003.68,0.43852,1.13581,0.82084,0.73738,0.92039,0.88705,0.84359,0.30251,0.80887,0.89572,0.000171897,0.000171897,0.000171897
70,1015.74,0.43903,1.04657,0.81292,0.7241,0.9066,0.8855,0.83966,0.30936,0.8134,0.89625,0.000166689,0.000166689,0.000166689
71,1028.03,0.43226,1.00998,0.79977,0.71441,0.92235,0.88811,0.8473,0.29314,0.79204,0.89506,0.000161482,0.000161482,0.000161482
72,1040.37,0.42162,1.0107,0.82081,0.701,0.91998,0.89176,0.85096,0.29015,0.78953,0.89444,0.000156275,0.000156275,0.000156275
73,1052.47,0.38323,0.99036,0.80729,0.71763,0.90397,0.89742,0.85689,0.28678,0.78576,0.89481,0.000151067,0.000151067,0.000151067
74,1064.73,0.41942,0.99573,0.81388,0.73379,0.8998,0.89848,0.86138,0.28657,0.77911,0.89484,0.00014586,0.00014586,0.00014586
75,1084.98,0.42069,1.00241,0.81844,0.73535,0.91725,0.90136,0.85643,0.30618,0.74921,0.89541,0.000140652,0.000140652,0.000140652
76,1097.05,0.41848,1.00232,0.81448,0.74025,0.91202,0.90364,0.8501,0.31415,0.73515,0.89584,0.000135445,0.000135445,0.000135445
77,1112.83,0.42164,0.96982,0.81806,0.76985,0.89849,0.90688,0.86593,0.29514,0.72091,0.89513,0.000130238,0.000130238,0.000130238
78,1132.12,0.4279,0.99761,0.81103,0.77789,0.91859,0.90532,0.86638,0.28328,0.71845,0.89494,0.00012503,0.00012503,0.00012503
79,1149.25,0.41637,0.98472,0.81943,0.77366,0.93237,0.90321,0.86131,0.27931,0.72182,0.89482,0.000119823,0.000119823,0.000119823
80,1166.61,0.3936,0.95055,0.81263,0.76444,0.92026,0.90208,0.85962,0.28455,0.72744,0.89556,0.000114615,0.000114615,0.000114615
81,1184.16,0.38709,0.92682,0.81681,0.75946,0.9207,0.90257,0.8559,0.29202,0.73282,0.89708,0.000109408,0.000109408,0.000109408
82,1201.14,0.37278,0.90854,0.80707,0.76877,0.90964,0.90476,0.8566,0.295,0.71944,0.89719,0.000104201,0.000104201,0.000104201
83,1221.88,0.39304,0.94289,0.81802,0.76855,0.91437,0.90803,0.85969,0.30109,0.69184,0.89747,9.89932e-05,9.89932e-05,9.89932e-05
84,1237.01,0.38742,0.96246,0.82911,0.77563,0.92152,0.9097,0.86489,0.29055,0.67972,0.89779,9.37858e-05,9.37858e-05,9.37858e-05
85,1249.12,0.35214,6.81607,0.74362,0.79685,0.92123,0.91159,0.8717,0.27505,0.66064,0.89718,8.85784e-05,8.85784e-05,8.85784e-05
86,1260.63,0.39427,0.88328,0.80478,0.80255,0.92081,0.91071,0.87233,0.27766,0.66007,0.89679,8.3371e-05,8.3371e-05,8.3371e-05
87,1272.27,0.38867,0.93658,0.81445,0.81153,0.91021,0.91287,0.87609,0.28343,0.66144,0.89672,7.81636e-05,7.81636e-05,7.81636e-05
