epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1794,3.63112,5.53009,2.40389,0,0,0,0,2.80083,5.33016,1.52201,1.892e-05,1.892e-05,1.892e-05
2,36.4119,2.90854,5.41387,1.73874,0,0,0,0,2.53153,5.20216,1.31697,3.91684e-05,3.91684e-05,3.91684e-05
3,55.4752,2.4643,5.30255,1.39389,0,0,0,0,2.11972,5.12341,1.16292,5.9008e-05,5.9008e-05,5.9008e-05
4,74.3996,2.18573,5.18443,1.2576,0,0,0,0,1.64574,4.95858,1.03904,7.84391e-05,7.84391e-05,7.84391e-05
5,93.922,1.98088,5.11432,1.15054,0,0,0,0,1.57533,4.94509,1.04894,9.74614e-05,9.74614e-05,9.74614e-05
6,112.402,1.74439,4.97849,1.08251,0,0,0,0,1.28285,4.90792,1.00838,0.000116075,0.000116075,0.000116075
7,131.185,1.61694,4.95513,1.06602,0.0007,0.01358,0.0011,0.00056,0.98735,4.80593,0.9557,0.00013428,0.00013428,0.00013428
8,150.034,1.63836,4.86845,1.06173,0.00252,0.02948,0.00331,0.00161,0.96649,4.72943,0.9525,0.000152076,0.000152076,0.000152076
9,169.966,1.42043,4.84095,1.01051,0.00611,0.16526,0.00993,0.00441,0.97113,4.50387,0.94917,0.000158378,0.000158378,0.000158378
10,189.463,1.34672,4.76133,0.97267,0.00694,0.18698,0.01033,0.00474,0.948,4.39833,0.94759,0.000156675,0.000156675,0.000156675
11,204.091,1.26434,4.78589,0.98646,0.00772,0.21282,0.01183,0.00622,0.88629,4.20367,0.9394,0.000154972,0.000154972,0.000154972
12,222.603,1.25976,4.69978,0.97812,0.00803,0.22517,0.01211,0.0069,0.83063,4.12484,0.92923,0.000153269,0.000153269,0.000153269
13,241.419,1.25014,4.71289,0.97189,0.00753,0.23297,0.01047,0.0061,0.81626,4.02444,0.9249,0.000151566,0.000151566,0.000151566
14,260.342,1.13014,4.65176,0.92817,0.00833,0.23816,0.01212,0.00638,0.82256,4.00562,0.92463,0.000149864,0.000149864,0.000149864
15,279.009,1.02483,4.62653,0.91796,0.01113,0.24815,0.01301,0.00739,0.70439,3.99681,0.91549,0.000148161,0.000148161,0.000148161
16,297.744,1.04021,4.60647,0.92579,0.01184,0.24459,0.01341,0.00779,0.68352,3.98705,0.91253,0.000146458,0.000146458,0.000146458
17,316.672,0.98188,4.59552,0.90432,0.01092,0.24532,0.01789,0.00894,0.65424,4.00337,0.91384,0.000144755,0.000144755,0.000144755
18,336.912,0.97307,4.53264,0.92137,0.00977,0.2202,0.01403,0.00743,0.63163,4.00536,0.91284,0.000143052,0.000143052,0.000143052
19,353.475,0.9766,4.4852,0.90612,0.00944,0.2001,0.01104,0.00749,0.60812,4.00462,0.9105,0.00014135,0.00014135,0.00014135
20,367.285,0.88946,4.50675,0.90948,0.00975,0.19946,0.01149,0.00748,0.61517,4.01695,0.91109,0.000139647,0.000139647,0.000139647
21,380.104,0.95368,4.50227,0.91078,0.01009,0.18526,0.01326,0.00804,0.63886,4.03738,0.91361,0.000137944,0.000137944,0.000137944
22,392.724,0.92441,4.45898,0.89472,0.00956,0.17988,0.01306,0.00946,0.62108,4.04747,0.91436,0.000136241,0.000136241,0.000136241
23,405.731,0.86633,4.43475,0.89075,0.00785,0.16989,0.01289,0.01037,0.58613,4.07561,0.91289,0.000134538,0.000134538,0.000134538
24,418.228,0.84482,4.35206,0.8853,0.00906,0.17037,0.01383,0.01144,0.58175,4.06693,0.91191,0.000132836,0.000132836,0.000132836
25,430.578,0.78922,4.31732,0.87218,0.01177,0.19395,0.01824,0.01541,0.57854,4.05894,0.9112,0.000131133,0.000131133,0.000131133
26,442.798,0.85853,4.31518,0.87747,0.01129,0.19228,0.01766,0.01485,0.56694,4.05861,0.91018,0.00012943,0.00012943,0.00012943
27,454.818,0.81031,4.26184,0.87398,0.01523,0.20769,0.02004,0.017,0.52688,4.05149,0.90966,0.000127727,0.000127727,0.000127727
