epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00396,2.40842,7.058,1.33963,0,0,0,0,2.23017,5.57508,1.36427,3.44e-06,3.44e-06,3.44e-06
2,2.61241,2.23545,7.10698,1.24566,0,0,0,0,2.3102,5.57706,1.38938,8.51486e-06,8.51486e-06,8.51486e-06
3,3.15613,2.19576,6.63744,1.26506,0,0,0,0,2.26939,5.57878,1.33828,1.34876e-05,1.34876e-05,1.34876e-05
4,3.63054,2.22203,6.44854,1.24087,0,0,0,0,2.18288,5.57475,1.25131,1.83581e-05,1.83581e-05,1.83581e-05
5,3.96394,1.98375,6.43336,1.1775,0,0,0,0,2.00011,5.57584,1.1789,2.31264e-05,2.31264e-05,2.31264e-05
6,4.30368,2.16246,6.37606,1.21246,0,0,0,0,1.74747,5.57558,1.07434,2.77926e-05,2.77926e-05,2.77926e-05
7,4.63328,2.07558,6.36991,1.07984,0,0,0,0,1.55724,5.57599,1.02641,3.23566e-05,3.23566e-05,3.23566e-05
8,4.94905,1.91816,6.1541,1.05487,0,0,0,0,1.5714,5.57329,1.00662,3.68185e-05,3.68185e-05,3.68185e-05
9,5.30129,1.86141,6.07547,1.00358,0,0,0,0,1.52525,5.53755,0.96666,4.11782e-05,4.11782e-05,4.11782e-05
10,5.62683,1.65275,5.84982,0.93305,0,0,0,0,1.61448,5.50592,0.95034,4.54357e-05,4.54357e-05,4.54357e-05
11,5.96529,1.39259,5.79864,0.9115,0,0,0,0,1.58015,5.46541,0.91474,4.9591e-05,4.9591e-05,4.9591e-05
12,6.29436,1.56444,5.9742,0.91428,0,0,0,0,1.48041,5.43912,0.89004,5.36442e-05,5.36442e-05,5.36442e-05
13,6.62296,1.42645,5.80833,0.88111,0,0,0,0,1.35471,5.43086,0.87648,5.75952e-05,5.75952e-05,5.75952e-05
14,6.95189,1.44709,5.71546,0.88628,0,0,0,0,1.30517,5.41519,0.8624,6.14441e-05,6.14441e-05,6.14441e-05
15,7.27682,1.35857,5.73896,0.88481,0,0,0,0,1.30517,5.41519,0.8624,6.51908e-05,6.51908e-05,6.51908e-05
16,7.61076,1.42853,5.64629,0.87659,0,0,0,0,1.27166,5.40112,0.84835,6.88353e-05,6.88353e-05,6.88353e-05
17,7.96719,1.34292,5.64531,0.87208,0,0,0,0,1.23141,5.3962,0.84389,7.23776e-05,7.23776e-05,7.23776e-05
18,8.29205,1.35651,5.49069,0.86365,0,0,0,0,1.23141,5.3962,0.84389,7.58178e-05,7.58178e-05,7.58178e-05
19,8.62319,1.51922,5.61792,0.88529,0,0,0,0,1.22136,5.39255,0.83895,7.91558e-05,7.91558e-05,7.91558e-05
20,8.95949,1.37016,5.64033,0.86775,0,0,0,0,1.2239,5.38424,0.83171,8.23916e-05,8.23916e-05,8.23916e-05
21,9.2776,1.37054,5.61789,0.83707,0,0,0,0,1.2239,5.38424,0.83171,8.55253e-05,8.55253e-05,8.55253e-05
22,9.60513,1.29328,5.35178,0.87789,0,0,0,0,1.22227,5.38248,0.82574,8.85568e-05,8.85568e-05,8.85568e-05
23,9.93399,1.24536,5.53311,0.85163,0,0,0,0,1.22227,5.38248,0.82574,9.14861e-05,9.14861e-05,9.14861e-05
24,10.2793,1.30388,5.40521,0.83158,0,0,0,0,1.2177,5.38967,0.82056,9.43133e-05,9.43133e-05,9.43133e-05
25,10.5919,1.30748,5.34418,0.84418,0,0,0,0,1.2177,5.38967,0.82056,9.70383e-05,9.70383e-05,9.70383e-05
26,10.921,1.14514,5.18114,0.83806,0,0,0,0,1.21978,5.40812,0.81663,9.96611e-05,9.96611e-05,9.96611e-05
27,11.2265,1.1884,5.33131,0.83676,0,0,0,0,1.21978,5.40812,0.81663,0.000102182,0.000102182,0.000102182
28,11.547,1.25305,5.5551,0.83982,0,0,0,0,1.21635,5.41855,0.81586,0.0001046,0.0001046,0.0001046
29,11.8644,1.23417,5.37802,0.83439,0,0,0,0,1.21635,5.41855,0.81586,0.000106917,0.000106917,0.000106917
30,12.2001,1.1808,5.3108,0.85092,0,0,0,0,1.21635,5.41855,0.81586,0.000109131,0.000109131,0.000109131
31,12.5208,1.31604,5.21017,0.82987,0,0,0,0,1.22386,5.4346,0.82181,0.000111243,0.000111243,0.000111243
